sample,CAN_ID,RX_ID,LEN,Motor_ID_byte,p_out_rad,v_out_rad_s,t_out_Nm,p_cmd_rad,v_cmd_rad_s,kp,kd,raw_bytes
357,2,2,8,2,1.4971,-2.1123,-0.4286,1.4865,-0.2500,80.00,3.00,02 8F 54 7A 97 F2
358,2,2,8,2,1.4715,-2.0147,-0.5556,1.4610,-0.2500,80.00,3.00,02 8F 11 7A D7 EE
359,2,2,8,2,1.4460,-2.1612,-0.5238,1.4353,-0.2500,80.00,3.00,02 8E CE 7A 77 EF
360,2,2,8,2,1.4204,-1.4042,-0.8413,1.4095,-0.2500,80.00,3.00,02 8E 8B 7C 67 E5
361,2,2,8,2,1.3952,-1.6728,-1.0952,1.3840,-0.2500,80.00,3.00,02 8E 49 7B B7 DD
362,2,2,8,2,1.3697,-1.1111,-1.0000,1.3583,-0.2500,80.00,3.00,02 8E 06 7D 27 E0
363,2,2,8,2,1.3445,-1.8681,-0.7460,1.3328,-0.2500,80.00,3.00,02 8D C4 7B 37 E8
364,2,2,8,2,1.3190,-1.6239,-0.5238,1.3070,-0.2500,80.00,3.00,02 8D 81 7B D7 EF
365,2,2,8,2,1.2930,-2.7228,-0.3333,1.2813,-0.2500,80.00,3.00,02 8D 3D 79 07 F5
366,2,2,8,2,1.2671,-2.7717,-0.1746,1.2558,-0.2500,80.00,3.00,02 8C F9 78 E7 FA
367,2,2,8,2,1.2411,-2.9426,-0.0794,1.2300,-0.2500,80.00,3.00,02 8C B5 78 77 FD
368,2,2,8,2,1.2152,-2.2589,-0.2381,1.2043,-0.2500,80.00,3.00,02 8C 71 7A 37 F8
369,2,2,8,2,1.1900,-2.3565,-0.3651,1.1788,-0.2500,80.00,3.00,02 8C 2F 79 F7 F4
370,2,2,8,2,1.1656,-2.1368,-0.6825,1.1530,-0.2500,80.00,3.00,02 8B EF 7A 87 EA
371,2,2,8,2,1.1423,-2.2344,-0.6508,1.1273,-0.2500,80.00,3.00,02 8B B2 7A 47 EB
372,2,2,8,2,1.1202,-1.9170,-1.6349,1.1018,-0.2500,80.00,3.00,02 8B 78 7B 17 CC
373,2,2,8,2,1.0966,-1.9902,-2.1429,1.0760,-0.2500,80.00,3.00,02 8B 3A 7A E7 BC
374,2,2,8,2,1.0737,-0.8913,-3.0000,1.0505,-0.2500,80.00,3.00,02 8A FE 7D B7 A1
375,2,2,8,2,1.0515,-2.2833,-2.7778,1.0248,-0.2500,80.00,3.00,02 8A C4 7A 27 A8
376,2,2,8,2,1.0252,-2.7961,-2.6825,0.9990,-0.2500,80.00,3.00,02 8A 7F 78 D7 AB
377,2,2,8,2,1.0008,-2.1123,-2.7460,0.9735,-0.2500,80.00,3.00,02 8A 3F 7A 97 A9
378,2,2,8,2,0.9768,-2.4542,-3.0317,0.9478,-0.2500,80.00,3.00,02 8A 00 79 B7 A0
379,2,2,8,2,0.9512,-2.2833,-3.1587,0.9220,-0.2500,80.00,3.00,02 89 BD 7A 27 9C
380,2,2,8,2,0.9264,-2.3321,-3.6667,0.8965,-0.2500,80.00,3.00,02 89 7C 7A 07 8C
